contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250508C05280000,2025-04-16 17:13:17+00:00,5280.0,174.98,155.6,157.7,0.0,0.0,,,0.2876734441375731,True,REGULAR,
SPXW250508C05290000,2025-04-17 13:31:34+00:00,5290.0,145.2,135.9,136.8,-113.05,-43.77541,1.0,16.0,0.25696162357330327,True,REGULAR,USD
SPXW250508C05300000,2025-04-17 13:31:34+00:00,5300.0,128.64,129.0,130.1,-68.91,-34.88231,4.0,97.0,0.2534902837753296,False,REGULAR,USD
SPXW250508C05310000,2025-04-16 17:49:41+00:00,5310.0,119.2,123.7,124.6,-17.279999,-12.661196,2.0,3.0,0.25210174785614015,False,REGULAR,USD
SPXW250508C05320000,2025-04-14 19:32:19+00:00,5320.0,225.9,119.0,119.8,0.0,0.0,4.0,5.0,0.25183472171783444,False,REGULAR,USD
SPXW250508C05325000,2025-04-08 14:10:12+00:00,5325.0,156.16,117.0,117.8,0.0,0.0,,2.0,0.2523840326309204,False,REGULAR,USD
SPXW250508C05330000,2025-04-15 19:56:57+00:00,5330.0,108.6,113.7,114.6,-80.51,-42.573105,2.0,24.0,0.2505568109130859,False,REGULAR,USD
SPXW250508C05340000,2025-04-16 18:18:09+00:00,5340.0,103.5,107.4,108.6,-13.559998,-11.583801,1.0,15.0,0.24748982498168942,False,REGULAR,USD
SPXW250508C05350000,2025-04-17 13:43:02+00:00,5350.0,111.83,102.6,103.8,-93.67,-45.58151,100.0,12.0,0.24650182826995848,False,REGULAR,USD
SPXW250508C05360000,2025-04-16 19:39:37+00:00,5360.0,96.57,97.2,98.3,0.0,0.0,12.0,14.0,0.24390404541015626,False,REGULAR,USD
SPXW250508C05370000,2025-04-14 19:32:19+00:00,5370.0,190.8,92.1,92.9,0.0,0.0,4.0,9.0,0.24122996936798097,False,REGULAR,USD
SPXW250508C05375000,2025-04-14 19:32:19+00:00,5375.0,187.5,90.0,91.1,0.0,0.0,4.0,3.0,0.24156947402954104,False,REGULAR,USD
SPXW250508C05380000,2025-04-16 18:56:54+00:00,5380.0,90.96,85.9,89.2,0.0,0.0,13.0,18.0,0.24165339653015136,False,REGULAR,USD
SPXW250508C05390000,2025-04-14 18:01:02+00:00,5390.0,172.45,84.5,88.5,0.0,0.0,2.0,3.0,0.24782170032501222,False,REGULAR,USD
SPXW250508C05400000,2025-04-17 13:40:27+00:00,5400.0,78.61,79.2,80.1,-28.96,-26.922005,7.0,34.0,0.23836897502899168,False,REGULAR,USD
SPXW250508C05410000,2025-04-17 14:11:27+00:00,5410.0,82.65,73.9,75.0,-22.82,-21.636484,6.0,18.0,0.2351951786422729,False,REGULAR,USD
SPXW250508C05420000,2025-04-16 18:22:31+00:00,5420.0,77.73,70.1,71.0,0.0,0.0,2.0,9.0,0.23397830238342285,False,REGULAR,USD
