contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250508P05020000,2025-04-14 17:00:07+00:00,5020.0,58.04,63.7,64.5,0.0,0.0,1.0,6.0,0.33254909400939947,False,REGULAR,USD
SPXW250508P05025000,2025-04-16 19:49:32+00:00,5025.0,78.96,65.3,66.5,0.0,0.0,8.0,11.0,0.33412836288452147,False,REGULAR,USD
SPXW250508P05030000,2025-04-11 18:50:18+00:00,5030.0,95.04,65.7,66.4,0.0,0.0,,7.0,0.3305502126312255,False,REGULAR,USD
SPXW250508P05040000,2025-04-09 17:09:18+00:00,5040.0,230.4,68.4,69.1,0.0,0.0,,7.0,0.3303251477432251,False,REGULAR,USD
SPXW250508P05050000,2025-04-16 19:52:29+00:00,5050.0,76.0,69.4,71.1,0.0,0.0,3.0,19.0,0.32826904647827143,False,REGULAR,USD
SPXW250508P05060000,2025-04-10 16:09:33+00:00,5060.0,168.8,72.7,73.6,0.0,0.0,,7.0,0.3272352738571167,False,REGULAR,USD
SPXW250508P05070000,2025-04-17 14:07:35+00:00,5070.0,69.2,75.4,76.2,-64.71001,-48.3235,14.0,6.0,0.3262625357818604,False,REGULAR,USD
SPXW250508P05075000,2025-04-16 16:46:34+00:00,5075.0,64.71,76.6,77.5,0.0,0.0,1.0,10.0,0.32571703952789305,False,REGULAR,USD
SPXW250508P05080000,2025-04-14 15:55:00+00:00,5080.0,77.08,77.7,78.5,0.0,0.0,2.0,3.0,0.3244467580413818,False,REGULAR,USD
SPXW250508P05090000,2025-04-15 18:46:37+00:00,5090.0,48.39,80.1,80.9,0.0,0.0,2.0,23.0,0.3227072734832762,False,REGULAR,USD
SPXW250508P05100000,2025-04-16 19:53:01+00:00,5100.0,87.1,79.7,81.9,0.0,0.0,8.0,844.0,0.3177176993560791,False,REGULAR,USD
SPXW250508P05110000,2025-04-15 13:30:07+00:00,5110.0,57.85,83.7,86.9,0.0,0.0,1.0,6.0,0.32138740142822264,False,REGULAR,USD
SPXW250508P05120000,2025-04-10 15:15:45+00:00,5120.0,129.03,87.6,88.5,0.0,0.0,,17.0,0.31743922924041745,False,REGULAR,USD
SPXW250508P05125000,2025-04-14 16:15:08+00:00,5125.0,87.64,88.5,89.4,0.0,0.0,13.0,53.0,0.31563871013641354,False,REGULAR,USD
SPXW250508P05130000,2025-04-14 18:31:28+00:00,5130.0,64.65,90.4,91.3,0.0,0.0,10.0,137.0,0.31594006820678705,False,REGULAR,USD
SPXW250508P05140000,2025-04-16 19:09:00+00:00,5140.0,115.33,92.3,93.1,0.0,0.0,2.0,4.0,0.31216737033843994,False,REGULAR,USD
SPXW250508P05150000,2025-04-16 19:52:40+00:00,5150.0,101.6,95.4,96.2,0.0,0.0,1.0,93.0,0.31098864067077625,False,REGULAR,USD
SPXW250508P05160000,2025-04-16 17:15:36+00:00,5160.0,82.69,97.5,98.4,0.0,0.0,1.0,3.0,0.3077690683746338,False,REGULAR,USD
SPXW250508P05175000,2025-04-14 19:27:58+00:00,5175.0,69.61,102.9,103.9,0.0,0.0,1.0,56.0,0.3071816108703613,False,REGULAR,USD
SPXW250508P05180000,2025-04-15 14:03:26+00:00,5180.0,62.29,93.6,95.9,0.0,0.0,,,0.2867808139038085,False,REGULAR,
SPXW250508P05190000,2025-04-16 14:29:18+00:00,5190.0,88.11,96.8,98.8,0.0,0.0,,,0.28466749275207515,False,REGULAR,
SPXW250508P05200000,2025-04-17 14:21:49+00:00,5200.0,106.67,111.9,112.8,-23.449997,-18.021824,1.0,814.0,0.30470589710235596,False,REGULAR,USD
SPXW250508P05210000,2025-04-16 13:54:03+00:00,5210.0,102.24,102.9,104.7,0.0,0.0,,,0.2801013457870482,False,REGULAR,
SPXW250508P05220000,2025-04-15 15:07:21+00:00,5220.0,73.44,118.2,119.1,0.0,0.0,2.0,2.0,0.3002732632064819,False,REGULAR,USD
SPXW250508P05225000,2025-04-17 13:38:04+00:00,5225.0,113.09,119.1,120.1,-18.87001,-14.299794,1.0,45.0,0.2979196185302734,False,REGULAR,USD
